TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-05-16 11:18:55,1778930335687,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/user,GET,,500,v4pkh-1778930334424-20eb3fe31921,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",error,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/geocoder.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:997:14)
    at defaultResolve (node:internal/modules/esm/resolve:1040:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:719:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:736:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:765:52)
    at #resolve (node:internal/modules/esm/loader:701:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:621:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:160:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,,,,,
2026-05-16 11:18:54,1778930334424,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/user,GET,,500,v4pkh-1778930334424-20eb3fe31921,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,1121,iad1,-1,2048,,prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,01KRR85ETS4ZBET1VMPTKY2137,,-1,,
2026-05-16 11:18:55,1778930335642,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/location-tree,GET,,500,8fmkc-1778930334424-2899a53b437d,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",error,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/geocoder.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:997:14)
    at defaultResolve (node:internal/modules/esm/resolve:1040:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:719:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:736:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:765:52)
    at #resolve (node:internal/modules/esm/loader:701:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:621:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:160:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,,,,,
2026-05-16 11:18:54,1778930334424,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/location-tree,GET,,500,8fmkc-1778930334424-2899a53b437d,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,1076,iad1,-1,2048,,prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,01KRR85ETP7XH1GKRMK5RGHRDN,,-1,,
2026-05-16 11:18:55,1778930335684,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/location-tree,GET,,500,zwnfh-1778930334411-d11f41768d14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",error,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/geocoder.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:997:14)
    at defaultResolve (node:internal/modules/esm/resolve:1040:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:719:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:736:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:765:52)
    at #resolve (node:internal/modules/esm/loader:701:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:621:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:160:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,,,,,
2026-05-16 11:18:54,1778930334411,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/location-tree,GET,,500,zwnfh-1778930334411-d11f41768d14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,1109,iad1,-1,2048,,prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,01KRR85ETV20Q52MKJ4RNSGZD5,,-1,,
2026-05-16 11:18:57,1778930337201,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/user,GET,,500,v9jc9-1778930334411-4316e96c40ea,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",error,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/geocoder.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:997:14)
    at defaultResolve (node:internal/modules/esm/resolve:1040:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:719:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:736:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:765:52)
    at #resolve (node:internal/modules/esm/loader:701:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:621:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:160:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.
Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/geocoder.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:997:14)
    at defaultResolve (node:internal/modules/esm/resolve:1040:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:719:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:736:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:765:52)
    at #resolve (node:internal/modules/esm/loader:701:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:621:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:160:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,,,,,
2026-05-16 11:18:54,1778930334411,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app/api/user,GET,,500,v9jc9-1778930334411-4316e96c40ea,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36",,production,main,MISS,function,/api,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,gemach-1t4mjk5ct-mooses-projects-7504e4bb.vercel.app,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,1116,iad1,-1,2048,,prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,01KRR85EV85991S1XQEP1EH8B0,,-1,,
2026-05-16 11:18:19,1778930299183,earmuffsgemach.com/api/health,GET,,500,9n2pt-1778930298043-34731a15aa3a,undici,error,production,main,MISS,function,/api,earmuffsgemach.com,earmuffsgemach.com,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/server/storage' imported from /var/task/server/geocoder.js
    at finalizeResolution (node:internal/modules/esm/resolve:281:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:997:14)
    at defaultResolve (node:internal/modules/esm/resolve:1040:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:719:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:736:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:765:52)
    at #resolve (node:internal/modules/esm/loader:701:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:621:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:160:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/server/storage'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,,,,,
2026-05-16 11:18:18,1778930298043,earmuffsgemach.com/api/health,GET,,500,9n2pt-1778930298043-34731a15aa3a,undici,,production,main,MISS,function,/api,earmuffsgemach.com,earmuffsgemach.com,dpl_Bi7LwrcvwAypP1cUX8A8PFLQQ2jd,1106,iad1,-1,2048,,prj_CENDQJ4CSXzZudulAiAzV1dLEABB,,,01KRR84B6BFFTKFPB8MH8J5VV9,,-1,,
